epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
80,3375.62,0.6092,0.50587,1.05633,0.88622,0.8066,0.91637,0.73169,0.9092,0.66583,1.28776,0.007393,0.007393,0.007393
81,3417.41,0.60472,0.50291,1.05099,0.88929,0.80553,0.91733,0.73213,0.90998,0.66635,1.28832,0.00736,0.00736,0.00736
82,3459.36,0.60211,0.50679,1.05553,0.88606,0.8126,0.91758,0.73181,0.90872,0.66381,1.28754,0.007327,0.007327,0.007327
83,3500.92,0.61036,0.5137,1.05854,0.88057,0.81885,0.91816,0.73233,0.90801,0.6609,1.28735,0.007294,0.007294,0.007294
84,3542.53,0.59752,0.49729,1.04913,0.88589,0.81256,0.91816,0.73335,0.90822,0.66115,1.28825,0.007261,0.007261,0.007261
85,3587.25,0.60609,0.50537,1.05245,0.88374,0.81571,0.91816,0.73319,0.90812,0.65993,1.2886,0.007228,0.007228,0.007228
86,3627.99,0.59879,0.49661,1.05257,0.88187,0.8224,0.91955,0.73292,0.90911,0.65703,1.28967,0.007195,0.007195,0.007195
87,3669.72,0.5946,0.49176,1.04781,0.87614,0.82615,0.91979,0.73309,0.91006,0.65574,1.29087,0.007162,0.007162,0.007162
88,3711.3,0.5984,0.49153,1.04935,0.88803,0.81256,0.9199,0.7327,0.91123,0.65665,1.29142,0.007129,0.007129,0.007129
89,3752.6,0.5915,0.48498,1.04396,0.87041,0.83408,0.92068,0.73293,0.91167,0.6563,1.29148,0.007096,0.007096,0.007096
90,3794.05,0.58886,0.4845,1.0419,0.88469,0.82006,0.92174,0.73348,0.91196,0.65541,1.29155,0.007063,0.007063,0.007063
91,3835.2,0.59327,0.48069,1.04357,0.87641,0.83075,0.92162,0.73297,0.91335,0.65649,1.29304,0.00703,0.00703,0.00703
92,3876.41,0.58712,0.48641,1.04194,0.87907,0.82896,0.9221,0.73347,0.91348,0.6565,1.29308,0.006997,0.006997,0.006997
93,3920.39,0.59029,0.48709,1.04222,0.87662,0.8299,0.92169,0.73345,0.91385,0.65677,1.29334,0.006964,0.006964,0.006964
94,3962.6,0.59099,0.48649,1.0466,0.87379,0.83037,0.92082,0.73298,0.91455,0.65696,1.29393,0.006931,0.006931,0.006931
95,4004.73,0.58468,0.4796,1.03877,0.8778,0.83083,0.92133,0.73303,0.91459,0.65579,1.29424,0.006898,0.006898,0.006898
96,4046.35,0.58429,0.48137,1.0425,0.87343,0.83411,0.92162,0.73277,0.91465,0.65629,1.29466,0.006865,0.006865,0.006865
97,4087.7,0.58415,0.48328,1.03825,0.8727,0.83205,0.92115,0.73298,0.91465,0.65486,1.29473,0.006832,0.006832,0.006832
98,4129.32,0.58028,0.47473,1.03792,0.87308,0.83271,0.92069,0.73321,0.91481,0.65421,1.2948,0.006799,0.006799,0.006799
99,4170.88,0.582,0.47664,1.04083,0.8749,0.83239,0.92054,0.73347,0.91434,0.65447,1.29463,0.006766,0.006766,0.006766
100,4214.97,0.57704,0.47841,1.03426,0.87564,0.83224,0.92001,0.73382,0.9147,0.65539,1.29518,0.006733,0.006733,0.006733
101,4257.4,0.57681,0.4706,1.03511,0.87572,0.83037,0.92,0.73401,0.91524,0.65536,1.2956,0.0067,0.0067,0.0067
102,4299.33,0.57215,0.4673,1.03448,0.88001,0.83169,0.9204,0.73449,0.91482,0.65557,1.29498,0.006667,0.006667,0.006667
103,4340.85,0.57519,0.47404,1.03604,0.87674,0.83224,0.92059,0.7349,0.91373,0.65541,1.2939,0.006634,0.006634,0.006634
104,4382.67,0.57184,0.46699,1.03303,0.87609,0.83158,0.91947,0.7339,0.91362,0.65657,1.29372,0.006601,0.006601,0.006601
105,4423.86,0.56548,0.45874,1.02976,0.87439,0.83183,0.91953,0.73405,0.91351,0.6571,1.29311,0.006568,0.006568,0.006568
106,4465.22,0.57323,0.46879,1.03346,0.87477,0.8313,0.92006,0.73402,0.91319,0.65557,1.29283,0.006535,0.006535,0.006535
107,4509.06,0.56511,0.46269,1.03213,0.86859,0.83599,0.92062,0.73421,0.91263,0.65558,1.29254,0.006502,0.006502,0.006502
108,4551.06,0.56983,0.46524,1.03373,0.86906,0.83552,0.92092,0.73412,0.91154,0.65542,1.2916,0.006469,0.006469,0.006469
109,4593.14,0.57464,0.4606,1.03673,0.86866,0.83682,0.92068,0.73434,0.91069,0.65594,1.29065,0.006436,0.006436,0.006436
110,4635.05,0.56533,0.46081,1.0299,0.87049,0.83552,0.92099,0.73495,0.91019,0.65614,1.29021,0.006403,0.006403,0.006403
111,4677.36,0.56328,0.45486,1.02947,0.88478,0.82047,0.92157,0.73521,0.90951,0.65575,1.28926,0.00637,0.00637,0.00637
112,4719.3,0.56836,0.46102,1.03195,0.88571,0.81865,0.92162,0.73619,0.90941,0.65634,1.2892,0.006337,0.006337,0.006337
113,4760.66,0.56398,0.45607,1.0264,0.87518,0.82755,0.92151,0.73672,0.90876,0.65554,1.2888,0.006304,0.006304,0.006304
114,4804.58,0.5636,0.45192,1.02985,0.8753,0.82943,0.92176,0.73691,0.90827,0.65468,1.28823,0.006271,0.006271,0.006271
115,4846.42,0.56478,0.45379,1.02716,0.87776,0.82775,0.92222,0.73665,0.9078,0.65492,1.2878,0.006238,0.006238,0.006238
116,4888.25,0.56135,0.4522,1.02712,0.8708,0.83318,0.9227,0.73703,0.90705,0.65443,1.28719,0.006205,0.006205,0.006205
117,4930.52,0.55897,0.45223,1.02375,0.86945,0.83411,0.92302,0.73699,0.90631,0.65554,1.28666,0.006172,0.006172,0.006172
118,4971.8,0.55545,0.45374,1.02595,0.87071,0.83458,0.92323,0.73683,0.90556,0.65563,1.2861,0.006139,0.006139,0.006139
119,5013.51,0.55788,0.4532,1.02631,0.87304,0.83137,0.92266,0.73729,0.90527,0.65569,1.28586,0.006106,0.006106,0.006106
120,5055.58,0.55339,0.44987,1.02476,0.8761,0.83037,0.92296,0.73694,0.90478,0.65563,1.28538,0.006073,0.006073,0.006073
121,5100.54,0.55255,0.45131,1.02373,0.88208,0.82722,0.92334,0.73751,0.90416,0.65638,1.28491,0.00604,0.00604,0.00604
122,5145.24,0.55412,0.44819,1.02109,0.88328,0.82626,0.92393,0.73817,0.90386,0.65709,1.28467,0.006007,0.006007,0.006007
123,5187.4,0.55159,0.44644,1.0225,0.87839,0.83224,0.9239,0.73794,0.90374,0.65631,1.28458,0.005974,0.005974,0.005974
124,5229.03,0.5496,0.44617,1.02325,0.88129,0.82849,0.92371,0.73781,0.9033,0.65598,1.28399,0.005941,0.005941,0.005941
125,5271.22,0.55048,0.4453,1.02116,0.88207,0.82755,0.92301,0.73771,0.90297,0.65596,1.28375,0.005908,0.005908,0.005908
126,5312.69,0.54819,0.43449,1.01759,0.88129,0.82896,0.92323,0.73766,0.90325,0.65524,1.28384,0.005875,0.005875,0.005875
127,5356.77,0.54535,0.43525,1.01735,0.88642,0.81917,0.92226,0.7378,0.9027,0.65593,1.28332,0.005842,0.005842,0.005842
128,5399.67,0.54607,0.43687,1.01791,0.88548,0.81959,0.92171,0.7377,0.90249,0.65636,1.28283,0.005809,0.005809,0.005809
129,5442.07,0.54608,0.44157,1.01693,0.88547,0.81771,0.92155,0.73846,0.90207,0.6552,1.28272,0.005776,0.005776,0.005776
130,5484.63,0.54234,0.4378,1.01723,0.88287,0.82427,0.92203,0.73794,0.90248,0.65512,1.28279,0.005743,0.005743,0.005743
131,5527.16,0.54371,0.44053,1.01561,0.88455,0.82579,0.92248,0.73917,0.90222,0.65389,1.28275,0.00571,0.00571,0.00571
132,5569.35,0.53868,0.43497,1.01609,0.88127,0.82433,0.92253,0.7387,0.90251,0.65456,1.28301,0.005677,0.005677,0.005677
133,5610.99,0.54283,0.43726,1.01574,0.88224,0.82615,0.92334,0.73903,0.90272,0.65355,1.28289,0.005644,0.005644,0.005644
134,5652.85,0.53982,0.43301,1.01415,0.87541,0.83271,0.92296,0.73886,0.90247,0.6528,1.2825,0.005611,0.005611,0.005611
135,5695.46,0.53613,0.42906,1.01131,0.87904,0.82849,0.92241,0.73907,0.90227,0.65322,1.28225,0.005578,0.005578,0.005578
136,5737.82,0.53245,0.43327,1.01162,0.88016,0.82709,0.92254,0.73979,0.90243,0.65335,1.28236,0.005545,0.005545,0.005545
137,5780.29,0.53037,0.42894,1.01248,0.88474,0.82375,0.9227,0.73934,0.90168,0.65413,1.2816,0.005512,0.005512,0.005512
138,5823.65,0.53369,0.42533,1.01254,0.88914,0.8193,0.92257,0.74003,0.90119,0.6543,1.28122,0.005479,0.005479,0.005479
139,5866.12,0.53449,0.42872,1.01374,0.89035,0.81806,0.92257,0.73997,0.89966,0.65431,1.27976,0.005446,0.005446,0.005446
140,5908.36,0.52933,0.42682,1.00968,0.88111,0.82568,0.92256,0.74047,0.89913,0.6544,1.27939,0.005413,0.005413,0.005413
141,5950.83,0.53024,0.42307,1.00956,0.87925,0.82802,0.92311,0.74049,0.89886,0.65531,1.27919,0.00538,0.00538,0.00538
142,5994.49,0.53478,0.42428,1.01417,0.88068,0.82755,0.92315,0.74054,0.89835,0.65512,1.27863,0.005347,0.005347,0.005347
143,6036.89,0.53176,0.43587,1.01136,0.88014,0.82943,0.92292,0.74034,0.89794,0.65579,1.27815,0.005314,0.005314,0.005314
144,6079.32,0.53093,0.42384,1.00952,0.87874,0.8299,0.92268,0.74038,0.89693,0.65609,1.27736,0.005281,0.005281,0.005281
145,6121.46,0.52666,0.42672,1.0091,0.87975,0.82849,0.92331,0.74111,0.89645,0.65598,1.27686,0.005248,0.005248,0.005248
146,6163.43,0.52067,0.4191,1.00482,0.88098,0.83037,0.9232,0.74112,0.89532,0.65731,1.27579,0.005215,0.005215,0.005215
147,6206.17,0.52558,0.42234,1.0063,0.88429,0.82709,0.92338,0.74143,0.89524,0.65847,1.27602,0.005182,0.005182,0.005182
148,6248.64,0.52221,0.41631,1.00549,0.88299,0.82748,0.9232,0.74145,0.89531,0.65974,1.2757,0.005149,0.005149,0.005149
149,6291.88,0.52528,0.41701,1.00366,0.87629,0.83177,0.92261,0.74154,0.89543,0.6601,1.2761,0.005116,0.005116,0.005116
150,6334.07,0.52374,0.41911,1.00622,0.87676,0.83009,0.92302,0.74175,0.89519,0.66082,1.27576,0.005083,0.005083,0.005083
151,6375.76,0.52156,0.41438,1.00466,0.88184,0.82532,0.92319,0.74176,0.89528,0.66077,1.27591,0.00505,0.00505,0.00505
152,6418.63,0.52189,0.41855,1.0066,0.87957,0.82709,0.92326,0.74127,0.89511,0.66116,1.27555,0.005017,0.005017,0.005017
153,6460.99,0.521,0.41277,1.00396,0.87976,0.82633,0.92323,0.74193,0.89485,0.66214,1.27522,0.004984,0.004984,0.004984
154,6503.09,0.51481,0.4154,1.00126,0.88051,0.82662,0.92354,0.742,0.89499,0.66317,1.27565,0.004951,0.004951,0.004951
155,6544.71,0.51726,0.41263,1.00458,0.88253,0.82849,0.9235,0.74151,0.89524,0.66252,1.27576,0.004918,0.004918,0.004918
156,6586.45,0.51947,0.41032,0.99984,0.88219,0.82814,0.92338,0.74176,0.89402,0.663,1.27477,0.004885,0.004885,0.004885
157,6629.28,0.51321,0.41164,1.00243,0.88586,0.82474,0.92345,0.74171,0.89402,0.66354,1.27495,0.004852,0.004852,0.004852
158,6672.24,0.51732,0.41247,1.00219,0.88098,0.82901,0.92357,0.74156,0.89383,0.66453,1.2747,0.004819,0.004819,0.004819
159,6714.74,0.51574,0.40477,1.00242,0.88113,0.82667,0.92328,0.74174,0.89383,0.66564,1.27468,0.004786,0.004786,0.004786
160,6758,0.5109,0.40475,0.99826,0.88328,0.82662,0.92353,0.7421,0.89388,0.66626,1.27473,0.004753,0.004753,0.004753
